cohort,pool,n_held_out,n_cells_mature,candidate,null_rejection,null_rejection_mcse,null_stream_min,null_stream_max,null_abstention_rate,null_median_width,n_scored_null,discrimination,discrimination_mcse,draw_reference_inclusion,draw_reference_inclusion_mcse,alt_abstention_rate,alt_median_width,n_scored_alt,width_ratio_vs_percentile,baseline_discrimination,source_verdict,interval_object
kul3,reference,5,800,pseudobulk_patient_t,0.0265,0.0035915003828483716,0.02,0.0375,0.0,5.482678252218367,2000,0.337,0.01056955533596376,0.991,0.002111752826445369,0.0,5.200003167668628,2000,1.4633694443229364,0.877,passes_by_width,within_patient_over_cells
smc,pooled,2,5,bca,0.6435,0.010709989495793168,0.625,0.6575,0.0,1.610336211416613,2000,0.714,0.010104553429023966,0.4575,0.011139877692326787,0.0,1.38026970731115,2000,1.0266563882734498,0.726,fails_null,within_patient_over_cells
smc,pooled,2,5,patient_cluster,0.5929899856938483,0.013139312485434086,0.5698924731182796,0.6226415094339622,0.301,3.2943901959890667,1398,0.6907433380084151,0.012239343448661082,0.7300140252454418,0.011756456499227363,0.287,2.7866275446530016,1426,2.1003109265004167,0.726,fails_null,within_patient_over_cells
smc,pooled,2,5,percentile,0.6505,0.010661842007833357,0.6425,0.67,0.0,1.5685250000000002,2000,0.726,0.00997306372184596,0.5085,0.01117872421164419,0.0,1.34084375,2000,1.0,0.726,fails_null,within_patient_over_cells
smc,pooled,2,5,pseudobulk_patient_t,0.0407725321888412,0.005289213036038017,0.024475524475524476,0.06037735849056604,0.301,31.2938421198036,1398,0.04417952314165498,0.0054417541153358685,0.9789621318373072,0.003800353960950836,0.287,24.105256433008243,1426,19.95112740938372,0.726,passes_by_abstention,within_patient_over_cells
smc,pooled,2,5,studentised,0.6315,0.010786745338608862,0.62,0.6475,0.0,1.7719916212544273,2000,0.706,0.010187345090846782,0.485,0.01117530760203047,0.0,1.5525695359080718,2000,1.1297184432855243,0.726,fails_null,within_patient_over_cells
smc,pooled,2,5,welch_t,0.621,0.010848018252197035,0.615,0.63,0.0,1.671714128975331,2000,0.7025,0.010222371300241445,0.557,0.011107452453195558,0.0,1.382456226868816,2000,1.0657873664591453,0.726,fails_null,within_patient_over_cells
smc,pooled,2,50,bca,0.2335,0.009459855971419438,0.2,0.2625,0.0,4.400090748467526,2000,0.4615,0.011147146495852649,0.878,0.007318333143551201,0.0,2.3583932906493232,2000,1.1714188347531573,0.502,fails_null,within_patient_over_cells
smc,pooled,2,50,patient_cluster,0.2213855421686747,0.00930231822942239,0.18434343434343434,0.245,0.004,4.923082113257325,1992,0.34420471650777723,0.010642383471838194,0.8795785248369292,0.007290136009151138,0.0035,3.454861291158932,1993,1.3106527665399967,0.502,fails_null,within_patient_over_cells
smc,pooled,2,50,percentile,0.2305,0.009417264730270674,0.2025,0.2625,0.0,3.756206249999999,2000,0.502,0.011180250444422075,0.9175,0.0061519813881382975,0.0,2.1752312499999995,2000,1.0,0.502,fails_null,within_patient_over_cells
smc,pooled,2,50,pseudobulk_patient_t,0.030120481927710843,0.0038295274342345247,0.020050125313283207,0.0425,0.004,21.215625693387906,1992,0.042147516307074764,0.0045007165163083096,0.9769192172604114,0.0033635736651903897,0.0035,16.57780336110399,1993,5.648152492528308,0.502,passes_by_width,within_patient_over_cells
smc,pooled,2,50,studentised,0.223,0.009307819293475782,0.19,0.245,0.0,5.554313318085425,2000,0.454,0.011132924144177037,0.891,0.006968464680257768,0.0,2.529253372604618,2000,1.4787029647494534,0.502,fails_null,within_patient_over_cells
smc,pooled,2,50,welch_t,0.223,0.009307819293475782,0.2025,0.255,0.0,4.006174293251281,2000,0.5065,0.01117939510885987,0.935,0.005512485827646179,0.0,2.2466884084672287,2000,1.066548007913911,0.502,fails_null,within_patient_over_cells
smc,pooled,2,100,bca,0.161,0.008218241904446474,0.15,0.175,0.0,3.3130521587903528,2000,0.499,0.011180317526796813,0.9385,0.005372045699731156,0.0,1.9271487653858341,2000,1.107155513564481,0.522,fails_null,within_patient_over_cells
smc,pooled,2,100,patient_cluster,0.147,0.007918049002121673,0.13,0.165,0.0,3.923704899122204,2000,0.2945,0.010192392996740265,0.9,0.006708203932499368,0.0,3.2079748815259546,2000,1.3112233989848296,0.522,fails_null,within_patient_over_cells
smc,pooled,2,100,percentile,0.1585,0.008166325673153136,0.1425,0.1775,0.0,2.9924,2000,0.522,0.0111695120752878,0.9635,0.004193313129257102,0.0,1.8668312499999997,2000,1.0,0.522,fails_null,within_patient_over_cells
smc,pooled,2,100,pseudobulk_patient_t,0.0285,0.0037207358143249033,0.015,0.0425,0.0,15.548751994997128,2000,0.041,0.004433903472111228,0.9785,0.003243281517229114,0.0,15.76871769505576,2000,5.196080736197409,0.522,passes_by_width,within_patient_over_cells
