cohort,pool,n_cells_mature,shift,method,n_attempted,n_valid,n_excluded,median_width,n_covered,coverage,coverage_low,coverage_high,n_rejected,rejection,rejection_low,rejection_high
kul3,pooled,50,1.0,bca2000,2000,2000,0,3.548856970513934,1356,0.678,0.657198107354527,0.698119423813347,644,0.322,0.30188057618665304,0.34280189264547295
kul3,pooled,50,1.0,bootstrap_t2000,2000,2000,0,3.8287632305415187,1364,0.682,0.6612578808952767,0.7020443138943473,636,0.318,0.2979556861056527,0.3387421191047233
kul3,pooled,50,1.0,welch,2000,2000,0,3.224073539774587,1386,0.693,0.6724312322179724,0.7128287875314638,614,0.307,0.28717121246853605,0.3275687677820275
kul3,reference,30,0.5,percentile200,2000,2000,0,5.028337500000001,1576,0.788,0.7695437267430473,0.805352054022951,970,0.485,0.4631465412059797,0.5069109702124578
kul3,reference,30,0.5,percentile2000,2000,2000,0,5.08519375,1587,0.7935,0.7752049008533347,0.8106697923925698,958,0.479,0.4571674890056885,0.500913026980124
kul3,reference,30,0.5,bca2000,2000,2000,0,5.587719719504287,1546,0.773,0.7541283463671337,0.7908249458173021,843,0.4215,0.4000294072393846,0.443271569183772
kul3,reference,30,0.5,bootstrap_t2000,2000,2000,0,6.042525316172066,1567,0.7835,0.7649154586282094,0.8009975755633201,859,0.4295,0.40796139161315337,0.4513089120535032
kul3,reference,30,0.5,welch,2000,2000,0,5.360397588463691,1610,0.805,0.7870581588102703,0.8217724423481654,994,0.497,0.4751140951980067,0.5188974070856807
kul3,reference,30,1.0,percentile200,2000,2000,0,8.410037500000001,1475,0.7375,0.7177746294224202,0.7563147731189847,525,0.2625,0.24368522688101532,0.28222537057757985
kul3,reference,30,1.0,percentile2000,2000,2000,0,8.594029166666665,1486,0.743,0.7233957379147901,0.761672577106521,514,0.257,0.23832742289347897,0.27660426208520994
kul3,reference,30,1.0,bca2000,2000,2000,0,10.67997175169626,1521,0.7605,0.7413078324035932,0.7786933859628739,479,0.2395,0.22130661403712606,0.2586921675964067
kul3,reference,30,1.0,bootstrap_t2000,2000,2000,0,14.660366493467134,1543,0.7715,0.7525886856420438,0.7893703576842357,457,0.2285,0.21062964231576428,0.24741131435795602
kul3,reference,30,1.0,welch,2000,2000,0,9.56120576181217,1474,0.737,0.7172638129793978,0.7558275066092883,526,0.263,0.2441724933907117,0.28273618702060216
kul3,reference,50,0.5,percentile200,2000,2000,0,4.577143750000001,1726,0.863,0.8472329911935903,0.87737523248022,954,0.477,0.4551751724430595,0.49891301173187796
kul3,reference,50,0.5,percentile2000,2000,2000,0,4.703506249999998,1746,0.873,0.8576884946056319,0.8868813881225533,931,0.4655,0.4437261649389321,0.4874061113234743
kul3,reference,50,0.5,bca2000,2000,2000,0,5.03011873257819,1708,0.854,0.8378460407642953,0.8687966897605776,790,0.395,0.37379645659243443,0.4166061233366286
kul3,reference,50,0.5,bootstrap_t2000,2000,2000,0,5.276967619218516,1723,0.8615,0.8456670391022474,0.8759469357134069,812,0.406,0.38467775459641207,0.42768265029246344
kul3,reference,50,0.5,welch,2000,2000,0,4.817044405552995,1775,0.8875,0.8729022885582233,0.9006119997988055,977,0.4885,0.4666357769044239,0.5104083151830447
kul3,reference,50,1.0,percentile200,2000,2000,0,7.827350000000001,1627,0.8135,0.7958340915453663,0.8299639198092881,373,0.1865,0.17003608019071192,0.20416590845463362
kul3,reference,50,1.0,percentile2000,2000,2000,0,7.991837499999997,1637,0.8185,0.8010025901242357,0.8347762507576062,363,0.1815,0.16522374924239383,0.19899740987576423
kul3,reference,50,1.0,bca2000,2000,2000,0,9.482797532217525,1661,0.8305,0.8134267171121498,0.8463061146349421,339,0.1695,0.15369388536505793,0.18657328288785022
kul3,reference,50,1.0,bootstrap_t2000,2000,2000,0,11.983769703959755,1678,0.839,0.8222449922091818,0.8544552497341286,322,0.161,0.14554475026587133,0.1777550077908181
kul3,reference,50,1.0,welch,2000,2000,0,8.398586536910322,1629,0.8145,0.7968674175650281,0.8309267596950638,371,0.1855,0.1690732403049362,0.20313258243497184
smc,pooled,30,0.5,percentile200,2000,2000,0,2.1117333333333344,1610,0.805,0.7870581588102703,0.8217724423481654,1072,0.536,0.5140956459083181,0.5577663266874318
smc,pooled,30,0.5,percentile2000,2000,2000,0,2.169810416666666,1641,0.8205,0.8030713141807578,0.836699858511959,1052,0.526,0.5040876687901621,0.5478126447512128
smc,pooled,30,0.5,bca2000,2000,2000,0,2.361069284500645,1549,0.7745,0.7556683411116027,0.7922791999309893,958,0.479,0.4571674890056885,0.500913026980124
smc,pooled,30,0.5,bootstrap_t2000,2000,2000,0,2.4400256515204513,1593,0.7965,0.7782949017955278,0.8135682891666891,960,0.48,0.4581637787459181,0.5019129031453318
smc,pooled,30,0.5,welch,2000,2000,0,2.248124079978575,1686,0.843,0.8264001978270884,0.8582847077379719,1061,0.5305,0.5085901706994292,0.5522928894164142
smc,pooled,30,1.0,percentile200,2000,2000,0,3.772018750000001,1380,0.69,0.6693826357392854,0.7098888862938384,620,0.31,0.29011111370616144,0.3306173642607146
smc,pooled,30,1.0,percentile2000,2000,2000,0,3.8006729166666666,1382,0.691,0.6703987237896356,0.7108689641489256,618,0.309,0.28913103585107425,0.3296012762103643
