cohort,pool,n_held_out,n_cells_mature,shift,seed,n_attempted,n_valid,n_abstained,abstention,median_width,source_patients_min,source_patients_max,median_abs_target_gap,n_rejected,rejection,rejection_low,rejection_high,n_cell_covered,cell_coverage,cell_coverage_low,cell_coverage_high,n_patient_covered,patient_coverage,patient_coverage_low,patient_coverage_high,n_draw_covered,draw_inclusion,draw_inclusion_low,draw_inclusion_high,unconditional_rejection
kul3,pooled,2,800,0.5,1,400,283,117,0.2925,8.503385330430325,1,2,0.04038086443764377,26,0.09187279151943463,0.06346789261686611,0.13120919154759866,270,0.9540636042402827,0.9230044536812665,0.9729608682656277,269,0.950530035335689,0.9186866258486468,0.9703062033204506,277,0.9787985865724381,0.9545249302976904,0.9902478410937816,0.065
kul3,pooled,2,800,0.5,2,400,258,142,0.355,8.010203462435914,1,2,0.028768152542469005,27,0.10465116279069768,0.0729240053903435,0.14797859376719963,245,0.9496124031007752,0.9157124103453216,0.9703199278676686,245,0.9496124031007752,0.9157124103453216,0.9703199278676686,252,0.9767441860465116,0.9502007351203302,0.9892990717779265,0.0675
kul3,pooled,2,800,0.5,20260831,400,272,128,0.31999999999999995,7.864001857160013,1,2,0.028768152542469005,33,0.1213235294117647,0.08770732567241103,0.16548687914106242,257,0.9448529411764706,0.9110167987338955,0.9662987470677522,256,0.9411764705882353,0.9065938634418831,0.9634711406589245,263,0.9669117647058824,0.9383224916485559,0.9824963043581322,0.0825
kul3,pooled,2,800,0.5,3,400,258,142,0.355,8.529073810555609,1,2,0.015513011844113578,30,0.11627906976744186,0.08267532148225396,0.16114190711183202,249,0.9651162790697675,0.9350442157330028,0.9815409617287112,248,0.9612403100775194,0.9301344112122186,0.9788125564373146,250,0.9689922480620154,0.940017601697359,0.9842057855765357,0.075
kul3,pooled,2,800,0.5,4,400,273,127,0.3175,8.33468642207739,1,2,0.028768152542469005,28,0.10256410256410256,0.07191779404349893,0.14424007145688664,260,0.9523809523809523,0.9202444300388354,0.9719629765114169,260,0.9523809523809523,0.9202444300388354,0.9719629765114169,263,0.9633699633699634,0.9338967399412206,0.9799837210191595,0.07
kul3,pooled,2,800,1.0,1,400,266,134,0.33499999999999996,10.659979745475365,1,2,0.0,17,0.06390977443609022,0.04028149928816259,0.09995439695281959,249,0.9360902255639098,0.9000456030471804,0.9597185007118374,249,0.9360902255639098,0.9000456030471804,0.9597185007118374,249,0.9360902255639098,0.9000456030471804,0.9597185007118374,0.0425
kul3,pooled,2,800,1.0,2,400,268,132,0.32999999999999996,9.903660782453066,1,2,0.0,17,0.06343283582089553,0.039978024396871474,0.09922612417140944,251,0.9365671641791045,0.9007738758285905,0.9600219756031284,251,0.9365671641791045,0.9007738758285905,0.9600219756031284,251,0.9365671641791045,0.9007738758285905,0.9600219756031284,0.0425
kul3,pooled,2,800,1.0,20260831,400,269,131,0.3275,10.088243832714639,1,2,0.0,12,0.04460966542750929,0.025699967329258767,0.07634265823444256,257,0.9553903345724907,0.9236573417655574,0.9743000326707412,257,0.9553903345724907,0.9236573417655574,0.9743000326707412,257,0.9553903345724907,0.9236573417655574,0.9743000326707412,0.03
kul3,pooled,2,800,1.0,3,400,287,113,0.2825,10.222469255759538,1,2,0.0,12,0.041811846689895474,0.024077340481575123,0.07164992939798695,275,0.9581881533101045,0.928350070602013,0.9759226595184248,275,0.9581881533101045,0.928350070602013,0.9759226595184248,275,0.9581881533101045,0.928350070602013,0.9759226595184248,0.03
kul3,pooled,2,800,1.0,4,400,268,132,0.32999999999999996,9.706059432636609,1,2,0.0,8,0.029850746268656716,0.01520190436169214,0.057787178711841164,260,0.9701492537313433,0.9422128212881589,0.9847980956383078,260,0.9701492537313433,0.9422128212881589,0.9847980956383078,260,0.9701492537313433,0.9422128212881589,0.9847980956383078,0.02
