cohort,pool,pair_number,n_source_cells,mean_expression,variance_expression,zero_fraction,squared_cv
smc,reference,36,96,7.5625,286.6002604166667,0.40625,5.011246954898345
smc,reference,37,15,19.533333333333335,3368.6488888888894,0.5333333333333333,8.82882735966639
smc,reference,38,139,43.44604316546763,2913.527664199575,0.1079136690647482,1.543542839512479
smc,reference,39,68,15.941176470588236,633.5553633217995,0.3235294117647059,2.493123731975328
smc,reference,40,95,9.505263157894737,827.5552354570636,0.45263157894736844,9.159435326320901
smc,reference,41,219,30.360730593607308,2266.8059464981966,0.228310502283105,2.459177672086858
smc,reference,42,148,11.445945945945946,485.94978086194305,0.38513513513513514,3.709266262341287
smc,reference,43,138,45.04347826086956,3199.693761814745,0.13768115942028986,1.5770467792668568
smc,reference,44,67,18.82089552238806,1355.6097126308753,0.3880597014925373,3.8269615960043284
smc,reference,45,191,36.68586387434555,2453.3987006935113,0.17277486910994763,1.822932679056147
kul3,pooled,1,1202,4.310316139767055,977.9477970714366,0.721297836938436,52.637762896298185
kul3,pooled,2,1589,3.4644430459408433,878.6842297244152,0.8112020138451856,73.20925371287436
kul3,pooled,3,714,3.4383753501400562,974.8232332148544,0.6778711484593838,82.45543779891405
kul3,pooled,4,871,3.724454649827784,925.6668990998378,0.6911595866819747,66.73126428227167
kul3,pooled,5,955,3.6534031413612564,817.034844439571,0.6837696335078534,61.21324219154642
kul3,pooled,6,1363,4.2377109317681585,865.5311677609002,0.871606749816581,48.197005255292694
kul3,pooled,7,488,5.586065573770492,979.7794779629132,0.7848360655737705,31.399033464332753
kul3,pooled,8,645,5.449612403100775,911.7482362838771,0.7767441860465116,30.70037656133336
kul3,pooled,9,729,5.157750342935528,771.6280640748456,0.757201646090535,29.005969188546857
kul3,pooled,10,875,3.4857142857142858,800.2337959183674,0.92,65.86175759204515
kul3,pooled,11,1032,3.7199612403100777,785.2985162775675,0.8943798449612403,56.74896527128894
kul3,pooled,12,1116,3.6594982078853047,702.9037717912156,0.8727598566308243,52.4871263697418
kul3,pooled,13,157,5.025477707006369,700.0503063004585,0.7515923566878981,27.718807879573543
kul3,pooled,14,241,4.29045643153527,349.0193695012138,0.7012448132780082,18.960183546648015
kul3,pooled,15,398,4.580402010050252,487.6204199388904,0.7211055276381909,23.242063906402283
kul3,reference,1,314,14.834394904458598,3582.4311736784452,0.5095541401273885,16.279392084533118
kul3,reference,2,319,15.702194357366771,4178.666797692634,0.6081504702194357,16.94794496677791
kul3,reference,3,116,16.939655172413794,5754.59118608799,0.4827586206896552,20.054200156686022
kul3,reference,4,227,11.916299559471366,3445.574492033612,0.6343612334801763,24.26491750404023
kul3,reference,5,332,9.024096385542169,2296.1741181593848,0.6114457831325302,28.19664046944658
