cohort,pool,n_held_out,n_cells_mature,shift,candidate,n_streams,n_attempted,n_scored,n_abstained,n_excludes_zero,n_covered,median_ci_width,stream_min_rate,stream_max_rate,excludes_zero_rate,coverage,abstention_rate,excludes_zero_mcse,coverage_mcse
kul3,pooled,5,50,1.0,percentile,5,2000.0,2000,0.0,666.0,1334.0,3.0570812499999986,0.305,0.3525,0.333,0.667,0.0,0.010538287337134057,0.010538287337134055
kul3,pooled,5,50,1.0,pseudobulk_patient_t,5,2000.0,2000,0.0,362.0,1638.0,5.213017890289729,0.16,0.2075,0.181,0.819,0.0,0.008609268261588785,0.008609268261588787
kul3,pooled,5,100,0.5,patient_cluster,5,2000.0,2000,0.0,899.0,1764.0,2.1823325940206875,0.41,0.4725,0.4495,0.882,0.0,0.011123168388548292,0.007213736895673421
kul3,pooled,5,100,0.5,percentile,5,2000.0,2000,0.0,855.0,1924.0,2.29508125,0.375,0.4525,0.4275,0.962,0.0,0.011062182198824967,0.004275277768753747
kul3,pooled,5,100,0.5,pseudobulk_patient_t,5,2000.0,2000,0.0,496.0,1950.0,3.7482145732753755,0.235,0.28,0.248,0.975,0.0,0.009656500401284102,0.003491060010942237
kul3,pooled,5,100,1.0,patient_cluster,5,2000.0,2000,0.0,500.0,1500.0,3.1821765888385563,0.2175,0.295,0.25,0.75,0.0,0.009682458365518542,0.009682458365518542
kul3,pooled,5,100,1.0,percentile,5,2000.0,2000,0.0,448.0,1552.0,3.5718687499999984,0.18,0.2625,0.224,0.776,0.0,0.009322660564452618,0.009322660564452617
kul3,pooled,5,100,1.0,pseudobulk_patient_t,5,2000.0,2000,0.0,240.0,1760.0,5.859509905694983,0.095,0.1475,0.12,0.88,0.0,0.0072663608498339805,0.0072663608498339805
kul3,pooled,5,800,0.5,patient_cluster,5,2000.0,2000,0.0,1073.0,1935.0,1.5507516162593957,0.52,0.5625,0.5365,0.9675,0.0,0.011150510078018852,0.00396508196636589
kul3,pooled,5,800,0.5,percentile,5,2000.0,2000,0.0,986.0,1983.0,1.705537499999999,0.4425,0.535,0.493,0.9915,0.0,0.01117924416049672,0.0020527725154044657
