cohort,pool,n_held_out,n_cells_mature,shift,candidate,seed_stream,n_attempted,n_scored,n_abstained,n_excludes_zero,n_covered,excludes_zero_rate,coverage,median_ci_width,n_normal,n_tumour,n_replicates,n_pool_undefined,null_rejection,null_rejection_mcse,pool_mean,pool_var,pool_skew,pool_form,skew_matched,closed_form_floor
smc,reference,2,800,1.0,bca,4,400.0,400,0.0,25.0,375.0,0.0625,0.9375,3.6701070342291633,,,,,,,,,,,,
smc,reference,2,800,1.0,welch_t,4,400.0,400,0.0,18.0,382.0,0.045,0.955,3.7029043364002234,,,,,,,,,,,,
smc,reference,2,800,1.0,patient_cluster,4,400.0,400,0.0,8.0,392.0,0.02,0.98,14.708567405263835,,,,,,,,,,,,
smc,reference,2,800,1.0,pseudobulk_patient_t,4,400.0,400,0.0,15.0,385.0,0.0375,0.9625,15.96560113196846,,,,,,,,,,,,
smc,reference,5,100,0.5,percentile,4,400.0,400,0.0,366.0,393.0,0.915,0.9825,5.015231249999999,,,,,,,,,,,,
smc,reference,5,100,0.5,patient_cluster,4,400.0,400,0.0,42.0,400.0,0.105,1.0,17.703832884737942,,,,,,,,,,,,
smc,reference,5,100,0.5,pseudobulk_patient_t,4,400.0,400,0.0,91.0,394.0,0.2275,0.985,13.253218298866067,,,,,,,,,,,,
smc,reference,2,800,0.5,percentile,4,400.0,400,0.0,398.0,396.0,0.995,0.99,2.8098062499999985,,,,,,,,,,,,
smc,reference,2,800,0.5,studentised,4,400.0,400,0.0,398.0,399.0,0.995,0.9975,2.8400381443176808,,,,,,,,,,,,
smc,reference,2,800,0.5,bca,4,400.0,400,0.0,398.0,396.0,0.995,0.99,2.8281405820839036,,,,,,,,,,,,
smc,reference,2,800,0.5,welch_t,4,400.0,400,0.0,398.0,398.0,0.995,0.995,2.7765244474307,,,,,,,,,,,,
smc,reference,2,800,0.5,patient_cluster,4,400.0,400,0.0,142.0,393.0,0.355,0.9825,10.853381423752865,,,,,,,,,,,,
smc,reference,2,800,0.5,pseudobulk_patient_t,4,400.0,400,0.0,23.0,398.0,0.0575,0.995,45.53554131311354,,,,,,,,,,,,
kul3,pooled,2,5,0.5,percentile,20260831,400.0,400,0.0,317.0,207.0,0.7925,0.5175,1.6907374999999987,,,,,,,,,,,,
kul3,pooled,2,5,0.5,studentised,20260831,400.0,400,0.0,314.0,174.0,0.785,0.435,2.0008650579627427,,,,,,,,,,,,
kul3,pooled,2,5,0.5,bca,20260831,400.0,400,0.0,315.0,156.0,0.7875,0.39,1.8226333769639322,,,,,,,,,,,,
kul3,pooled,2,5,0.5,welch_t,20260831,400.0,400,0.0,311.0,267.0,0.7775,0.6675,1.734308438985031,,,,,,,,,,,,
kul3,pooled,2,5,0.5,patient_cluster,20260831,400.0,210,190.0,167.0,71.0,0.7952380952380952,0.3380952380952381,1.0587319087034142,,,,,,,,,,,,
kul3,pooled,2,5,0.5,pseudobulk_patient_t,20260831,400.0,210,190.0,36.0,189.0,0.17142857142857143,0.9,10.905609519656785,,,,,,,,,,,,
kul3,pooled,2,5,1.0,percentile,20260831,400.0,400,0.0,285.0,115.0,0.7125,0.2875,1.8003874999999996,,,,,,,,,,,,
kul3,pooled,2,5,1.0,studentised,20260831,400.0,400,0.0,276.0,124.0,0.69,0.31,2.1889155733581642,,,,,,,,,,,,
kul3,pooled,2,5,1.0,bca,20260831,400.0,400,0.0,283.0,117.0,0.7075,0.2925,1.9458116368093816,,,,,,,,,,,,
kul3,pooled,2,5,1.0,welch_t,20260831,400.0,400,0.0,275.0,125.0,0.6875,0.3125,1.8822190652487647,,,,,,,,,,,,
kul3,pooled,2,5,1.0,patient_cluster,20260831,400.0,218,182.0,160.0,58.0,0.7339449541284404,0.26605504587155965,1.2315437441981953,,,,,,,,,,,,
kul3,pooled,2,5,1.0,pseudobulk_patient_t,20260831,400.0,218,182.0,31.0,187.0,0.14220183486238533,0.8577981651376146,12.59573297174975,,,,,,,,,,,,
smc,reference,5,800,1.0,percentile,4,400.0,400,0.0,25.0,375.0,0.0625,0.9375,4.250612499999999,,,,,,,,,,,,
smc,reference,5,800,1.0,patient_cluster,4,400.0,400,0.0,0.0,400.0,0.0,1.0,22.738641998644027,,,,,,,,,,,,
smc,reference,5,800,1.0,pseudobulk_patient_t,4,400.0,400,0.0,12.0,388.0,0.03,0.97,6.306590916749435,,,,,,,,,,,,
kul3,pooled,2,50,1.0,percentile,20260831,400.0,400,0.0,116.0,284.0,0.29,0.71,3.18886875,,,,,,,,,,,,
kul3,pooled,2,50,1.0,studentised,20260831,400.0,400,0.0,119.0,281.0,0.2975,0.7025,3.9330195782072446,,,,,,,,,,,,
kul3,pooled,2,50,1.0,bca,20260831,400.0,400,0.0,118.0,282.0,0.295,0.705,3.640099991932752,,,,,,,,,,,,
kul3,pooled,2,50,1.0,welch_t,20260831,400.0,400,0.0,113.0,287.0,0.2825,0.7175,3.3086504007844146,,,,,,,,,,,,
kul3,pooled,2,50,1.0,patient_cluster,20260831,400.0,258,142.0,118.0,140.0,0.4573643410852713,0.5426356589147286,2.1649420788839446,,,,,,,,,,,,
kul3,pooled,2,50,1.0,pseudobulk_patient_t,20260831,400.0,258,142.0,21.0,237.0,0.08139534883720931,0.9186046511627907,19.59044861359002,,,,,,,,,,,,
smc,reference,5,800,0.5,percentile,4,400.0,400,0.0,399.0,399.0,0.9975,0.9975,3.1440874999999986,,,,,,,,,,,,
smc,reference,5,800,0.5,patient_cluster,4,400.0,400,0.0,42.0,400.0,0.105,1.0,16.728440606332818,,,,,,,,,,,,
smc,reference,5,800,0.5,pseudobulk_patient_t,4,400.0,400,0.0,140.0,400.0,0.35,1.0,11.010178068520608,,,,,,,,,,,,
