cohort,pool,n_cells_mature,shift,method,seed,n_attempted,n_valid,n_covered,n_rejected
smc,reference,30,0.5,bca2000,202609173,400,400,359,224
smc,reference,30,0.5,bca2000,202609174,400,400,365,240
smc,reference,30,0.5,bootstrap_t2000,202609170,400,400,360,221
smc,reference,30,0.5,bootstrap_t2000,202609171,400,400,360,221
smc,reference,30,0.5,bootstrap_t2000,202609172,400,400,367,207
smc,reference,30,0.5,bootstrap_t2000,202609173,400,400,367,212
smc,reference,30,0.5,bootstrap_t2000,202609174,400,400,369,215
smc,reference,30,0.5,welch,202609170,400,400,356,269
smc,reference,30,0.5,welch,202609171,400,400,358,290
smc,reference,30,0.5,welch,202609172,400,400,367,261
smc,reference,30,0.5,welch,202609173,400,400,359,269
smc,reference,30,0.5,welch,202609174,400,400,368,279
smc,reference,30,1.0,percentile200,202609170,400,400,349,51
smc,reference,30,1.0,percentile200,202609171,400,400,344,56
smc,reference,30,1.0,percentile200,202609172,400,400,343,57
smc,reference,30,1.0,percentile200,202609173,400,400,348,52
smc,reference,30,1.0,percentile200,202609174,400,400,332,68
smc,reference,30,1.0,percentile2000,202609170,400,400,352,48
smc,reference,30,1.0,percentile2000,202609171,400,400,341,59
smc,reference,30,1.0,percentile2000,202609172,400,400,347,53
smc,reference,30,1.0,percentile2000,202609173,400,400,347,53
smc,reference,30,1.0,percentile2000,202609174,400,400,338,62
smc,reference,30,1.0,bca2000,202609170,400,400,358,42
smc,reference,30,1.0,bca2000,202609171,400,400,346,54
smc,reference,30,1.0,bca2000,202609172,400,400,358,42
smc,reference,30,1.0,bca2000,202609173,400,400,354,46
smc,reference,30,1.0,bca2000,202609174,400,400,349,51
smc,reference,30,1.0,bootstrap_t2000,202609170,400,400,367,33
smc,reference,30,1.0,bootstrap_t2000,202609171,400,400,360,40
smc,reference,30,1.0,bootstrap_t2000,202609172,400,400,367,33
smc,reference,30,1.0,bootstrap_t2000,202609173,400,400,363,37
smc,reference,30,1.0,bootstrap_t2000,202609174,400,400,363,37
smc,reference,30,1.0,welch,202609170,400,400,353,47
smc,reference,30,1.0,welch,202609171,400,400,343,57
smc,reference,30,1.0,welch,202609172,400,400,344,56
smc,reference,30,1.0,welch,202609173,400,400,345,55
smc,reference,30,1.0,welch,202609174,400,400,341,59
smc,reference,50,0.5,percentile200,202609170,400,400,376,307
smc,reference,50,0.5,percentile200,202609171,400,400,371,311
smc,reference,50,0.5,percentile200,202609172,400,400,353,305
smc,reference,50,0.5,percentile200,202609173,400,400,362,310
smc,reference,50,0.5,percentile200,202609174,400,400,364,323
smc,reference,50,0.5,percentile2000,202609170,400,400,377,301
smc,reference,50,0.5,percentile2000,202609171,400,400,373,308
smc,reference,50,0.5,percentile2000,202609172,400,400,357,296
smc,reference,50,0.5,percentile2000,202609173,400,400,368,305
smc,reference,50,0.5,percentile2000,202609174,400,400,367,316
smc,reference,50,0.5,bca2000,202609170,400,400,372,262
smc,reference,50,0.5,bca2000,202609171,400,400,370,285
smc,reference,50,0.5,bca2000,202609172,400,400,361,274
smc,reference,50,0.5,bca2000,202609173,400,400,370,270
smc,reference,50,0.5,bca2000,202609174,400,400,366,286
smc,reference,50,0.5,bootstrap_t2000,202609170,400,400,380,256
smc,reference,50,0.5,bootstrap_t2000,202609171,400,400,371,271
smc,reference,50,0.5,bootstrap_t2000,202609172,400,400,360,258
smc,reference,50,0.5,bootstrap_t2000,202609173,400,400,371,258
smc,reference,50,0.5,bootstrap_t2000,202609174,400,400,370,275
smc,reference,50,0.5,welch,202609170,400,400,378,313
smc,reference,50,0.5,welch,202609171,400,400,376,313
smc,reference,50,0.5,welch,202609172,400,400,359,306
smc,reference,50,0.5,welch,202609173,400,400,369,311
smc,reference,50,0.5,welch,202609174,400,400,367,322
smc,reference,50,1.0,percentile200,202609170,400,400,366,34
smc,reference,50,1.0,percentile200,202609171,400,400,354,46
smc,reference,50,1.0,percentile200,202609172,400,400,373,27
smc,reference,50,1.0,percentile200,202609173,400,400,356,44
smc,reference,50,1.0,percentile200,202609174,400,400,362,38
smc,reference,50,1.0,percentile2000,202609170,400,400,370,30
smc,reference,50,1.0,percentile2000,202609171,400,400,361,39
smc,reference,50,1.0,percentile2000,202609172,400,400,377,23
smc,reference,50,1.0,percentile2000,202609173,400,400,360,40
smc,reference,50,1.0,percentile2000,202609174,400,400,363,37
