estimator,target_population,reference,n_trial,n_valid,n_excluded,max_residual,equality_flagged,bias,rmse,ratio_median,ratio_q25,ratio_q75,estimate_median,reference_median
ols-stratum-dummies,variance-weighted,obs-pooled,400,200,0,1.0853355851677422,False,-0.5487423392457961,0.5631557510203817,0.7121167244739472,0.6640171913363159,0.746942651514226,1.3328695093760023,1.8666482257346928
ols-stratum-dummies,variance-weighted,obs-pooled,800,200,0,0.7987385431509688,False,-0.5410367438638978,0.5473858793528654,0.7083045500677833,0.6804371224988681,0.7365158437402454,1.3163044328092537,1.850282604111658
ols-stratum-dummies,variance-weighted,obs-pooled,1600,200,0,0.6889945801007531,False,-0.5255904010905005,0.5288540663288414,0.7208720561466363,0.7048103354973231,0.7403816445264936,1.3685184178773833,1.8899759663917588
unadjusted,none,obs-pooled,50,199,1,7.061778735189007,False,-4.279532617234341,4.343164582940154,-1.366424897137303,-1.9697302853760352,-0.862761257207832,-2.489727675510098,1.8179518546192441
unadjusted,none,obs-pooled,100,200,0,6.473308107453342,False,-4.331001456566395,4.36660407828598,-1.2498754899996105,-1.5855968660658586,-0.9945431908981941,-2.400269810774725,1.9301327397702877
unadjusted,none,obs-pooled,200,200,0,5.194201454557246,False,-4.344016419208305,4.359603271799091,-1.3412152400947643,-1.631920248682923,-1.0841612869598167,-2.4743962573219376,1.8791000439128882
unadjusted,none,obs-pooled,400,200,0,5.1605455403891725,False,-4.3035077444543015,4.3123383770919315,-1.2906945001176913,-1.4825201632444809,-1.1501828771929363,-2.417917454029192,1.8666482257346928
unadjusted,none,obs-pooled,800,200,0,4.886180441279523,False,-4.305310060559337,4.309145167735188,-1.3132323376545108,-1.4480028147568291,-1.1933502266891527,-2.430960521173633,1.850282604111658
unadjusted,none,obs-pooled,1600,200,0,4.72042512847522,False,-4.3218059314434205,4.3237956662285075,-1.2843596847506464,-1.3669430108768283,-1.2047607398909137,-2.423811437731138,1.8899759663917588
ate-ipw,pooled,obs-trial,50,199,1,2.380206452994112,False,0.859361054587004,1.0146793102483598,1.7115594244615182,1.3732986992793,2.7112592941735687,1.817951854619242,0.9753889110616988
ate-ipw,pooled,obs-trial,100,200,0,2.3773930832283243,False,0.9155599631258581,1.0019220396150408,1.8092095258535172,1.5496563790289644,2.4182836881926772,1.9301327397702854,1.0323310766198515
ate-ipw,pooled,obs-trial,200,200,0,1.5748923940649777,False,0.899074531474611,0.9340504198893309,1.9549233957558485,1.6517458325941148,2.3260361492872814,1.8791000439128878,0.9405664218894156
ate-ipw,pooled,obs-trial,400,200,0,1.5747397928667348,False,0.890632641913626,0.9102746218656641,1.8916208285131182,1.7077575364742845,2.135337031083415,1.8666482257346946,0.9817012806220952
ate-ipw,pooled,obs-trial,800,200,0,1.2041931215535167,False,0.8832886822682917,0.8918030974758517,1.9005674039264853,1.7549802593402943,2.0444041604322987,1.8502826041116567,0.9695347052500409
ate-ipw,pooled,obs-trial,1600,200,0,1.1113500479366145,False,0.8718559675278473,0.8761795624544018,1.85895083255723,1.7728359148692907,1.9502146253371697,1.8899759663917592,1.020380908368395
ate-ipw-logistic,pooled,obs-trial,50,199,1,2.3802064529941704,False,0.859361054587001,1.0146793102483609,1.7115594244615517,1.3732986992793084,2.711259294173601,1.8179518546192472,0.9753889110616988
ate-ipw-logistic,pooled,obs-trial,100,200,0,2.3773930832284185,False,0.9155599631258768,1.0019220396150565,1.8092095258535132,1.5496563790290816,2.4182836881925596,1.9301327397703911,1.0323310766198515
ate-ipw-logistic,pooled,obs-trial,200,200,0,1.574892394064976,False,0.8990745314746132,0.9340504198893333,1.9549233957558283,1.6517458325941279,2.3260361492873223,1.8791000439128922,0.9405664218894156
ate-ipw-logistic,pooled,obs-trial,400,200,0,1.5747397928666798,False,0.8906326419136277,0.9102746218656653,1.8916208285131484,1.7077575364742703,2.13533703108344,1.866648225734675,0.9817012806220952
ate-ipw-logistic,pooled,obs-trial,800,200,0,1.2041931215534527,False,0.8832886822682806,0.8918030974758385,1.9005674039264895,1.7549802593402632,2.04440416043233,1.8502826041116567,0.9695347052500409
ate-ipw-logistic,pooled,obs-trial,1600,200,0,1.1113500479366287,False,0.8718559675278297,0.8761795624543854,1.8589508325573227,1.772835914869354,1.9502146253372525,1.8899759663916011,1.020380908368395
ate-standardisation,pooled,obs-trial,50,199,1,2.38020645299411,False,0.8593610545870038,1.0146793102483596,1.7115594244615169,1.3732986992793002,2.7112592941735696,1.8179518546192441,0.9753889110616988
ate-standardisation,pooled,obs-trial,100,200,0,2.377393083228325,False,0.9155599631258582,1.001922039615041,1.8092095258535146,1.5496563790289632,2.418283688192682,1.9301327397702877,1.0323310766198515
ate-standardisation,pooled,obs-trial,200,200,0,1.5748923940649777,False,0.899074531474611,0.934050419889331,1.954923395755848,1.6517458325941132,2.3260361492872814,1.8791000439128882,0.9405664218894156
ate-standardisation,pooled,obs-trial,400,200,0,1.574739792866738,False,0.8906326419136259,0.910274621865664,1.891620828513117,1.7077575364742839,2.135337031083415,1.8666482257346928,0.9817012806220952
ate-standardisation,pooled,obs-trial,800,200,0,1.2041931215535167,False,0.8832886822682918,0.891803097475852,1.9005674039264862,1.7549802593402926,2.044404160432297,1.850282604111658,0.9695347052500409
ate-standardisation,pooled,obs-trial,1600,200,0,1.1113500479366127,False,0.8718559675278474,0.8761795624544018,1.8589508325572286,1.7728359148692903,1.9502146253371677,1.8899759663917588,1.020380908368395
att-ipw,enrolled,obs-trial,50,199,1,3.774758283725532e-15,True,-9.275104414267954e-17,1.3447344680689674e-15,1.0,0.999999999999999,1.000000000000001,0.9753889110617004,0.9753889110616988
att-ipw,enrolled,obs-trial,100,200,0,3.9968028886505635e-15,True,4.649058915617843e-17,1.2693450450268636e-15,1.0000000000000002,0.9999999999999992,1.0000000000000009,1.0323310766198515,1.0323310766198515
att-ipw,enrolled,obs-trial,200,200,0,3.9968028886505635e-15,True,-9.214851104388799e-17,1.1059821998021583e-15,0.9999999999999999,0.9999999999999992,1.0000000000000007,0.9405664218894145,0.9405664218894156
att-ipw,enrolled,obs-trial,400,200,0,2.6645352591003757e-15,True,-7.16093850883226e-17,1.0223399970947142e-15,0.9999999999999999,0.9999999999999992,1.0000000000000007,0.981701280622095,0.9817012806220952
att-ipw,enrolled,obs-trial,800,200,0,2.886579864025407e-15,True,3.608224830031759e-17,1.0762007462531413e-15,1.0,0.9999999999999993,1.0000000000000009,0.9695347052500409,0.9695347052500409
att-ipw,enrolled,obs-trial,1600,200,0,3.6637359812630166e-15,True,4.496403249731884e-17,1.0393786758661365e-15,1.0,0.9999999999999993,1.0000000000000007,1.0203809083683963,1.020380908368395
att-matching-all,enrolled,obs-trial,50,199,1,4.440892098500626e-16,True,-1.0111955940367318e-17,1.2956482603667544e-16,1.0,0.9999999999999999,1.0,0.9753889110616987,0.9753889110616988
att-matching-all,enrolled,obs-trial,100,200,0,4.440892098500626e-16,True,-1.7381929229287606e-17,1.2127491398288508e-16,1.0,0.9999999999999999,1.0,1.0323310766198517,1.0323310766198515
att-matching-all,enrolled,obs-trial,200,200,0,4.440892098500626e-16,True,-1.0547118733938987e-17,1.1403455171351627e-16,1.0,0.9999999999999999,1.0,0.9405664218894156,0.9405664218894156
att-matching-all,enrolled,obs-trial,400,200,0,3.3306690738754696e-16,True,1.942890293094024e-18,1.2566871346510768e-16,1.0,1.0,1.0000000000000002,0.981701280622095,0.9817012806220952
att-matching-all,enrolled,obs-trial,800,200,0,2.220446049250313e-16,True,5.551115123125783e-18,1.285176065878327e-16,1.0,1.0,1.0000000000000002,0.969534705250041,0.9695347052500409
att-matching-all,enrolled,obs-trial,1600,200,0,2.220446049250313e-16,True,3.3306690738754695e-18,1.1537776118301385e-16,1.0,1.0,1.0,1.020380908368395,1.020380908368395
att-standardisation,enrolled,obs-trial,50,199,1,0.0,True,0.0,0.0,1.0,1.0,1.0,0.9753889110616988,0.9753889110616988
att-standardisation,enrolled,obs-trial,100,200,0,0.0,True,0.0,0.0,1.0,1.0,1.0,1.0323310766198515,1.0323310766198515
att-standardisation,enrolled,obs-trial,200,200,0,0.0,True,0.0,0.0,1.0,1.0,1.0,0.9405664218894156,0.9405664218894156
att-standardisation,enrolled,obs-trial,400,200,0,0.0,True,0.0,0.0,1.0,1.0,1.0,0.9817012806220952,0.9817012806220952
att-standardisation,enrolled,obs-trial,800,200,0,0.0,True,0.0,0.0,1.0,1.0,1.0,0.9695347052500409,0.9695347052500409
att-standardisation,enrolled,obs-trial,1600,200,0,0.0,True,0.0,0.0,1.0,1.0,1.0,1.020380908368395,1.020380908368395
ols-stratum-dummies,variance-weighted,obs-trial,50,199,1,1.0957353159896939,False,0.3135895439142118,0.37576871922818683,1.2493195037408158,1.1167212365404533,1.5975278056942714,1.278293383809606,0.9753889110616988
ols-stratum-dummies,variance-weighted,obs-trial,100,200,0,0.8666275203294495,False,0.34164554692282406,0.37713943404449035,1.3126794182571198,1.1939453434001985,1.506230103943907,1.3813512670795842,1.0323310766198515
ols-stratum-dummies,variance-weighted,obs-trial,200,200,0,0.6292209507140487,False,0.33530608211358187,0.3530445546896454,1.3557566017503833,1.2567731592205944,1.5185932323736735,1.286767599635041,0.9405664218894156
